127.0.0.1 - - [09/Nov/2017:15:21:54 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:21:54 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:05 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:06 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:06 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:06 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:06 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:06 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:06 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:26 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:26 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:26 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:26 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:26 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:26 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:22:26 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:23:06 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:23:06 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:23:21 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:23:21 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:24:16 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:24:16 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:24:41 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:24:41 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:30:05 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:30:05 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:15:30:05 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
