101,Introduction to Algorithms,Thomas H. Cormen,1000.00,Computer
104,The C Programming Language,Brian W. Kernighan,800.00,Computer
105,Abstract Algebra: The Basic Graduate Year,Robert B. Ash,700.00,Math
103,The Shock of the New,Robert Hughes,550.00,Art
102,The Power of Art,Simon Schama,850.00,Art
108,Skitter (The Hatching #2),Ezekiel Boone,600.00,Horror
109,Elementary Linear Algebra,Keith Matthews,750.00,Math
110,Black Friday,Michael Hodges,1500.00,Horror
106,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,1500.00,Computer
107,Billie Holiday,Carlos Sampayo,950.00,Music
